,customerid,productid,rate,year,month
290,103796,515,5,2019,10
291,103899,43,4,2019,10
292,103382,441,5,2019,10
293,103627,222,4,2019,10
294,103784,561,4,2019,10
295,103707,240,4,2019,11
296,103707,341,4,2019,11
297,103707,670,4,2019,11
298,103954,602,3,2019,11
299,103651,605,5,2019,11
300,103988,35,5,2019,11
301,103807,610,5,2019,11
302,103318,625,5,2019,11
303,103633,499,1,2019,11
304,103623,326,1,2019,11
305,103505,418,4,2019,11
306,103412,342,3,2019,11
307,103672,570,5,2019,11
308,103853,571,3,2019,11
309,103382,419,4,2019,12
310,103444,119,1,2019,12
311,103641,295,5,2019,12
312,103432,19,4,2019,12
313,103821,83,1,2020,1
314,103333,471,1,2020,1
315,103785,427,3,2020,1
316,103686,579,5,2020,1
317,103359,279,4,2020,1
318,103776,625,4,2020,1
319,103525,281,5,2020,1
320,103373,443,2,2020,1
321,103987,432,5,2020,1
322,103687,42,4,2020,1
323,103864,410,5,2020,1
324,103825,444,4,2020,1
325,22881,610,2,2020,1
326,103393,504,5,2020,2
327,103541,639,3,2020,2
328,103501,522,4,2020,2
329,103379,109,5,2020,2
330,103834,263,4,2020,2
331,103659,130,5,2020,2
332,103352,502,2,2020,2
333,103581,29,3,2020,2
334,103467,324,1,2020,2
335,103320,372,5,2020,2
336,103641,134,5,2020,2
337,103765,95,3,2020,2
338,103700,591,2,2020,2
339,103821,133,1,2020,2
340,103744,600,4,2020,3
341,103958,175,1,2020,3
342,103336,77,2,2020,3
343,103736,627,3,2020,3
344,103414,71,3,2020,3
345,103558,633,2,2020,3
346,103650,619,1,2020,4
347,103366,125,2,2020,4
348,103864,111,5,2020,4
349,103686,530,5,2020,4
350,103392,638,3,2020,4
351,103659,566,5,2020,4
352,103413,581,2,2020,4
353,103699,237,4,2020,5
354,103901,680,5,2020,5
355,103544,496,5,2020,5
356,103758,255,5,2020,5
357,22881,440,5,2020,5
358,103907,331,4,2020,5
359,103672,34,5,2020,5
360,103373,544,1,2020,5
361,103747,206,4,2020,5
362,103834,614,1,2020,5
363,103693,646,4,2020,5
364,103841,412,1,2020,5
365,103383,329,3,2020,5
366,103613,324,1,2020,5
367,103876,70,4,2020,6
368,103958,12,4,2020,6
369,103401,50,5,2020,6
370,103646,149,4,2020,6
371,103510,27,2,2020,6
372,103700,600,2,2020,6
373,103350,130,1,2020,6
374,103467,470,1,2020,6
375,103544,69,2,2020,6
376,103510,411,5,2020,7
377,103880,515,4,2020,7
378,103987,200,5,2020,7
379,103454,533,1,2020,7
380,103629,260,5,2020,7
381,103364,464,5,2020,7
382,103553,291,1,2020,7
383,103359,85,4,2020,7
384,103707,399,1,2020,7
385,103629,542,5,2020,7
386,103883,417,5,2020,7
387,23251,638,1,2020,7
388,103907,486,5,2020,7
389,103748,659,1,2020,7
390,103884,43,5,2020,7
391,103505,330,4,2020,7
392,103784,67,4,2020,7
393,103707,65,3,2020,7
394,103822,633,2,2020,7
395,103496,248,3,2020,8
396,103310,288,1,2020,8
397,103959,455,4,2020,8
398,103873,533,2,2020,8
399,103432,592,4,2020,8
400,103641,285,5,2020,8
401,103587,10,5,2020,8
402,103460,47,2,2020,8
403,103576,268,4,2020,8
404,103820,611,3,2020,8
405,103510,180,2,2020,8
406,103700,423,1,2020,8
407,103912,644,3,2020,8
408,103369,102,5,2020,8
409,103749,228,2,2020,8
410,103988,234,5,2020,8
411,103648,42,5,2020,8
412,103988,257,5,2020,8
413,103510,315,5,2020,9
414,103548,50,5,2020,9
415,103758,657,5,2020,9
416,103516,38,4,2020,9
417,103907,10,4,2020,9
418,103699,12,5,2020,9
419,103873,261,1,2020,9
420,103545,586,5,2020,9
421,103659,374,5,2020,9
422,103432,629,4,2020,9
423,103641,125,4,2020,9
424,103505,669,1,2020,9
425,103822,653,2,2020,9
426,103765,311,5,2020,9
427,103410,676,3,2020,9
428,103699,523,5,2020,10
429,103705,374,4,2020,10
430,103898,179,4,2020,10
431,103463,29,3,2020,10
432,103368,666,3,2020,10
433,103466,237,5,2020,10
434,103868,53,4,2020,10
435,6,53,1,2020,10
436,103333,280,1,2020,10
437,103854,602,1,2020,10
438,103544,58,5,2020,10
439,103784,144,4,2020,10
440,103848,120,1,2020,10
441,103907,516,1,2020,10
442,103413,643,2,2020,10
443,103878,190,4,2020,10
444,103780,310,1,2020,10
445,103834,200,5,2020,10
446,103354,282,4,2020,10
447,103645,162,2,2020,10
448,103868,66,4,2020,10
449,103466,574,4,2020,11
450,103672,324,5,2020,11
451,103359,480,4,2020,11
452,103749,419,1,2020,11
453,103597,674,4,2020,11
454,103315,383,2,2020,11
455,103959,342,4,2020,11
456,103821,174,1,2020,11
457,103846,216,1,2020,11
458,103384,673,2,2020,11
459,14906,267,4,2020,11
460,103972,582,5,2020,11
461,103707,602,3,2020,11
462,103744,626,5,2020,12
463,103652,575,3,2020,12
464,103641,187,5,2020,12
465,103780,529,1,2020,12
466,103661,604,3,2020,12
467,103528,565,2,2020,12
468,103498,180,2,2020,12
469,103582,689,1,2020,12
470,103970,20,3,2020,12
471,103463,230,1,2020,12
472,103878,87,4,2020,12
473,103401,333,4,2020,12
474,103380,679,3,2020,12
475,103838,93,5,2020,12
476,103719,97,4,2021,1
477,103749,284,3,2021,1
478,103886,537,2,2021,1
479,103883,45,5,2021,1
480,103423,397,2,2021,1
481,103655,522,3,2021,1
482,103834,661,1,2021,1
483,103356,113,5,2021,1
484,103456,195,1,2021,1
485,103463,176,3,2021,1
486,103369,140,5,2021,1
487,103954,223,5,2021,1
488,103698,91,1,2021,1
489,103510,487,5,2021,1
490,103643,659,1,2021,1
491,103403,80,5,2021,1
492,103883,486,5,2021,1
493,103329,264,5,2021,1
494,103387,399,5,2021,1
495,103510,652,4,2021,1
496,103581,561,2,2021,1
497,103644,23,1,2021,1
498,3,78,1,2021,1
499,103391,600,4,2021,2
500,103834,614,1,2021,2
501,103606,263,3,2021,2
502,103648,146,5,2021,2
503,103883,10,4,2021,2
504,103873,155,2,2021,2
505,103654,543,5,2021,2
506,103505,100,2,2021,2
507,103510,325,4,2021,2
508,103581,472,1,2021,2
509,13874,238,4,2021,2
510,103758,378,1,2021,2
511,103873,370,1,2021,3
512,103336,24,2,2021,3
513,103767,270,5,2021,3
514,103594,597,5,2021,3
515,103401,270,4,2021,3
516,23448,569,5,2021,3
517,103309,678,4,2021,3
518,103321,394,1,2021,3
519,103590,254,1,2021,3
520,103500,136,2,2021,3
521,103996,195,5,2021,3
522,103862,9,2,2021,3
523,103393,141,4,2021,3
524,103701,40,3,2021,3
525,103378,94,1,2021,4
526,103700,613,5,2021,4
527,103586,98,4,2021,4
528,103618,88,4,2021,4
529,103867,23,4,2021,4
530,103393,115,5,2021,4
531,103408,263,2,2021,4
532,103329,415,5,2021,4
533,103524,182,4,2021,4
534,103490,263,4,2021,4
535,103401,362,5,2021,4
536,103600,43,2,2021,4
537,103883,666,5,2021,5
538,103367,406,5,2021,5
539,103726,201,4,2021,5
540,103672,602,5,2021,5
541,103425,523,5,2021,5
542,103613,513,4,2021,5
543,103699,496,5,2021,5
544,103719,403,4,2021,5
545,103441,332,4,2021,5
546,103505,421,2,2021,5
547,103618,199,4,2021,5
548,103359,686,4,2021,5
549,103705,277,4,2021,5
550,103525,62,5,2021,5
551,103497,139,4,2021,5
552,103867,270,4,2021,6
553,103845,669,4,2021,6
554,103996,257,5,2021,6
555,103970,417,3,2021,6
556,103858,388,1,2021,6
557,14902,404,1,2021,6
558,103896,455,3,2021,6
559,103898,673,4,2021,6
560,103395,67,1,2021,6
561,103852,93,4,2021,6
562,103996,531,4,2021,6
563,103829,42,4,2021,6
564,103643,661,1,2021,6
565,103466,216,4,2021,6
566,103541,415,5,2021,6
567,103384,183,2,2021,6
568,103767,106,5,2021,6
569,103382,63,4,2021,7
570,14902,343,1,2021,7
571,103820,37,3,2021,7
572,103392,234,3,2021,7
573,103878,461,4,2021,7
574,103633,173,1,2021,7
575,103641,377,4,2021,7
576,103890,373,4,2021,7
577,103834,516,1,2021,7
578,103520,618,4,2021,7
579,103883,673,5,2021,7
580,103525,121,5,2021,7
581,103581,640,3,2021,7
582,103405,632,4,2021,7
583,103416,174,3,2021,8
584,103454,107,1,2021,8
585,103657,18,2,2021,8
586,103641,199,4,2021,8
587,103707,258,4,2021,8
588,103700,156,1,2021,8
589,103883,537,2,2021,8
590,103991,533,2,2021,8
591,103463,163,2,2021,8
592,103308,538,5,2021,8
593,103378,267,5,2021,8
594,103880,427,2,2021,8
595,103971,501,5,2021,8
596,103699,227,4,2021,8
597,103846,332,1,2021,8
598,103454,243,1,2021,9
599,103336,607,1,2021,9
600,103348,40,4,2021,9
601,14486,513,4,2021,9
602,103654,195,2,2021,9
603,103382,575,5,2021,9
604,103981,305,1,2021,9
605,103602,629,4,2021,9
606,103505,656,4,2021,9
607,103785,400,3,2021,9
608,103807,690,5,2021,9
609,103602,573,1,2021,9
610,103309,21,5,2021,9
611,103877,491,3,2021,10
612,103525,467,1,2021,10
613,103489,499,3,2021,10
614,103650,88,1,2021,10
615,103867,358,4,2021,10
616,103770,380,5,2021,10
617,103806,83,1,2021,10
618,103639,637,4,2021,10
619,103557,276,5,2021,10
620,103581,288,2,2021,10
621,103606,73,2,2021,10
622,103960,685,4,2021,10
623,103595,508,3,2021,10
624,103770,622,5,2021,10
625,103774,129,4,2021,10
626,103726,453,4,2021,10
627,103736,635,3,2021,10
628,103960,82,4,2021,10
629,103719,88,4,2021,10
630,103676,580,5,2021,11
631,22881,116,1,2021,11
632,103869,219,2,2021,11
633,103702,197,3,2021,11
634,103503,320,1,2021,11
635,103377,238,5,2021,11
636,103497,616,4,2021,11
637,103654,348,5,2021,11
638,103373,37,1,2021,11
639,103700,362,5,2021,11
640,103744,332,1,2021,11
641,103593,266,4,2021,11
642,103379,598,5,2021,12
643,103383,495,3,2021,12
644,103364,685,5,2021,12
645,103544,437,5,2021,12
646,103767,57,5,2021,12
647,103836,343,5,2021,12
648,103489,341,3,2021,12
649,103886,20,2,2021,12
650,103825,390,2,2021,12
651,103954,88,5,2021,12
652,103497,146,2,2021,12
653,103970,574,3,2021,12
654,103396,360,2,2021,12
655,103451,91,2,2022,1
656,103670,204,2,2022,1
657,103350,82,1,2022,1
658,103456,662,1,2022,1
659,103396,475,2,2022,1
660,103606,509,4,2022,1
661,103963,632,4,2022,1
662,103877,200,3,2022,1
663,103701,266,3,2022,1
664,103406,582,5,2022,1
665,103858,323,1,2022,2
666,103382,384,4,2022,2
667,14906,458,4,2022,2
668,103525,187,5,2022,2
669,103967,265,2,2022,2
670,103847,593,2,2022,2
671,103442,300,5,2022,2
672,103648,336,5,2022,2
673,103441,445,5,2022,2
674,103749,265,2,2022,2
675,103880,393,1,2022,3
676,13874,263,5,2022,3
677,103970,514,3,2022,3
678,103676,577,1,2022,3
679,103676,27,1,2022,3
680,103629,359,3,2022,3
681,103418,195,1,2022,3
682,103602,435,5,2022,3
683,103836,675,5,2018,1
684,103745,171,5,2018,1
685,103707,428,2,2018,1
686,103820,232,5,2018,1
687,103528,256,1,2018,1
688,103996,386,4,2018,1
689,103761,113,1,2018,1
690,103344,145,3,2018,1
691,103659,593,5,2018,1
692,103962,46,4,2018,1
693,103761,593,1,2018,1
694,103878,433,4,2018,1
695,103651,189,5,2018,1
696,103784,434,4,2018,2
697,22881,251,4,2018,2
698,103466,89,4,2018,2
699,103730,108,2,2018,2
700,103418,33,1,2018,2
701,103911,193,2,2018,2
702,103651,319,3,2018,2
703,103834,568,5,2018,2
704,103659,437,5,2018,2
705,103820,638,5,2018,2
706,103736,256,3,2018,2
707,103505,352,2,2018,2
708,103373,691,2,2018,3
709,14180,437,4,2018,3
710,103819,486,4,2018,3
711,103977,600,5,2018,3
712,103505,7,1,2018,3
713,103618,676,2,2018,3
714,103605,557,5,2018,3
715,103982,460,4,2018,3
716,103602,136,1,2018,3
717,103702,451,3,2018,3
718,103653,187,5,2018,3
719,103436,385,1,2018,4
720,103765,48,5,2018,4
721,103510,199,5,2018,4
722,103466,2,5,2018,4
723,103768,395,3,2018,4
724,103646,399,4,2018,4
725,103907,415,1,2018,4
726,103641,468,5,2018,4
727,103321,194,1,2018,4
728,103435,61,2,2018,4
729,103557,205,5,2018,4
730,103412,71,3,2018,5
731,103523,92,5,2018,5
732,103779,472,2,2018,5
733,103463,283,1,2018,5
734,22881,348,4,2018,5
735,103510,71,4,2018,5
736,103687,222,4,2018,6
737,103703,219,5,2018,6
738,103587,597,4,2018,6
739,103623,664,1,2018,6
740,103646,338,4,2018,6
741,103865,673,2,2018,6
742,103659,575,1,2018,7
743,103467,632,5,2018,7
744,103545,320,5,2018,7
745,103520,564,4,2018,7
746,103410,103,3,2018,7
747,103333,670,1,2018,7
748,103309,122,4,2018,7
749,103873,452,1,2018,7
750,103877,53,3,2018,7
751,103467,595,1,2018,7
752,103958,368,1,2018,7
753,103544,370,5,2018,7
754,6,336,1,2018,7
755,103548,130,5,2018,7
756,103629,21,3,2018,7
757,103672,524,5,2018,7
758,103544,340,5,2018,7
759,15202,123,1,2018,7
760,103548,315,5,2018,8
761,103848,222,5,2018,8
762,103812,679,1,2018,8
763,103544,423,2,2018,8
764,103512,660,1,2018,8
765,103699,237,4,2018,8
766,103602,272,4,2018,8
767,103802,429,1,2018,8
768,103415,396,3,2018,8
769,103618,95,2,2018,8
770,103643,489,1,2018,8
771,103567,222,1,2018,8
772,103765,109,5,2018,8
773,103394,134,3,2018,9
774,103898,256,4,2018,9
775,103638,116,3,2018,9
776,103660,449,4,2018,9
777,103354,635,4,2018,9
778,103587,371,4,2018,9
779,103505,604,4,2018,9
780,103327,63,1,2018,9
781,103491,328,4,2018,9
782,103498,678,2,2018,9
783,103527,215,2,2018,10
784,103333,332,4,2018,10
785,103809,166,1,2018,10
786,103650,564,5,2018,10
787,103512,286,1,2018,10
788,103350,628,5,2018,10
789,103329,408,5,2018,10
790,103496,619,1,2018,10
791,103416,123,2,2018,10
792,15042,624,2,2018,10
793,103655,473,3,2018,10
794,103391,258,4,2018,10
795,103392,22,1,2018,10
796,103333,76,1,2018,10
797,103467,268,1,2018,10
798,103308,413,5,2018,10
799,103315,332,2,2018,10
800,103765,81,3,2018,10
801,103627,504,1,2018,11
802,103970,398,3,2018,11
803,103587,425,4,2018,11
804,103467,356,5,2018,11
805,103516,246,4,2018,11
806,103629,2,4,2018,11
807,23448,318,5,2018,11
808,103491,591,1,2018,11
809,103821,41,2,2018,11
810,14902,83,1,2018,11
811,13874,30,4,2018,11
812,103553,202,2,2018,11
813,103629,659,4,2018,11
814,103524,656,4,2018,11
815,103873,344,3,2018,12
816,103600,61,1,2018,12
817,103589,2,4,2018,12
818,103853,690,2,2018,12
819,103780,589,1,2018,12
820,103639,47,4,2018,12
821,103627,301,5,2018,12
822,103587,191,3,2018,12
823,13879,268,2,2018,12
824,103765,42,5,2018,12
825,103958,114,4,2018,12
826,103873,2,3,2018,12
827,103528,208,2,2019,1
828,103491,473,5,2019,1
829,103487,447,1,2019,1
830,103524,172,5,2019,1
831,23448,12,4,2019,1
832,103819,309,4,2019,1
833,103521,254,4,2019,1
834,103512,636,1,2019,1
835,103646,579,5,2019,1
836,103336,314,2,2019,1
837,13874,21,3,2019,1
838,103505,371,4,2019,1
839,103600,394,2,2019,1
840,103912,143,3,2019,1
841,103730,406,2,2019,1
842,103982,250,5,2019,1
843,103670,59,2,2019,2
844,103779,61,2,2019,2
845,103454,428,4,2019,2
846,103765,249,5,2019,2
847,103652,45,3,2019,2
848,103820,500,5,2019,2
849,103528,301,2,2019,2
850,103403,629,3,2019,2
851,103774,284,4,2019,2
852,103592,401,1,2019,2
853,103355,186,4,2019,2
854,103567,459,1,2019,2
855,103718,443,1,2019,2
856,103967,362,2,2019,2
857,103838,666,5,2019,3
858,103781,117,4,2019,3
859,103820,309,5,2019,3
860,103545,402,5,2019,3
861,103737,445,5,2019,3
862,103405,325,4,2019,3
863,103442,432,5,2019,3
864,103501,233,4,2019,3
865,103745,146,5,2019,3
866,103316,214,4,2019,3
867,103382,637,5,2019,4
868,103646,212,5,2019,4
869,103496,120,5,2019,4
870,103982,102,4,2019,4
871,103676,460,5,2019,4
872,103894,414,4,2019,4
873,103496,542,3,2019,4
874,103672,198,5,2019,4
875,103460,545,2,2019,4
876,103367,613,1,2019,4
877,103718,42,5,2019,4
878,103336,539,2,2019,4
879,103489,78,3,2019,4
880,103528,570,1,2019,4
881,103602,477,1,2019,5
882,103490,180,4,2019,5
883,103821,162,1,2019,5
884,103676,512,3,2019,5
885,103618,437,4,2019,5
886,103403,467,4,2019,5
887,103886,65,1,2019,5
888,103618,308,4,2019,5
889,103831,23,4,2019,5
890,103620,250,1,2019,6
891,103670,137,2,2019,6
892,103406,221,4,2019,6
893,103884,87,5,2019,6
894,103728,589,2,2019,6
895,103709,233,2,2019,6
896,103822,658,2,2019,6
897,23448,46,4,2019,6
898,103768,399,3,2019,6
899,103548,617,5,2019,6
900,103987,121,5,2019,6
901,103638,49,3,2019,6
902,103384,431,2,2019,6
903,103831,434,4,2019,6
904,103505,517,4,2019,6
905,103512,521,1,2019,7
906,103765,288,5,2019,7
907,103702,287,3,2019,7
908,103373,594,2,2019,7
909,103369,523,5,2019,7
910,103413,427,2,2019,7
911,103606,542,4,2019,7
912,103651,76,5,2019,7
913,103367,484,2,2019,7
914,103862,20,2,2019,7
915,103664,28,5,2019,7
916,103579,71,1,2019,7
917,103496,12,3,2019,8
918,103957,83,2,2019,8
919,103654,122,2,2019,8
920,103350,173,1,2019,8
921,103618,220,5,2019,8
922,103820,159,5,2019,8
923,22881,436,2,2019,8
924,103392,364,3,2019,8
925,103954,511,5,2019,8
926,103912,88,3,2019,8
927,103886,573,1,2019,8
928,103454,485,1,2019,8
929,103618,192,4,2019,8
930,103566,562,2,2019,8
931,103836,397,1,2019,8
932,103972,569,1,2019,8
933,103505,279,4,2019,9
934,103911,288,2,2019,9
935,103899,587,4,2019,9
936,103503,122,1,2019,9
937,103606,121,5,2019,9
938,103660,50,1,2019,9
939,103971,181,5,2019,9
940,103654,626,1,2019,9
941,103707,331,3,2019,10
942,103336,382,1,2019,10
943,103382,677,4,2019,10
944,103466,12,1,2019,10
945,103838,417,5,2019,10
946,103523,192,1,2019,10
947,103713,310,1,2019,10
948,103728,348,5,2019,10
949,103395,104,1,2019,10
950,103957,215,4,2019,10
951,103596,371,2,2019,10
952,103987,262,1,2019,11
953,103408,320,4,2019,11
954,103899,121,1,2019,11
955,103456,431,1,2019,11
956,103644,370,1,2019,11
957,103862,428,2,2019,11
958,103524,618,4,2019,11
959,103867,317,4,2019,11
960,103678,5,5,2019,11
961,103954,565,3,2019,11
962,103812,607,2,2019,12
963,103373,42,1,2019,12
964,103880,276,2,2019,12
965,103825,360,4,2019,12
966,103510,242,5,2019,12
967,103451,549,2,2019,12
968,103758,189,5,2019,12
969,103596,3,4,2019,12
970,103537,595,2,2019,12
971,103611,126,1,2019,12
972,103441,552,2,2019,12
973,103656,488,4,2020,1
974,103820,654,1,2020,1
975,103408,542,4,2020,1
976,103901,492,4,2020,1
977,103416,489,2,2020,1
978,103745,490,5,2020,1
979,103886,295,3,2020,1
980,103958,386,1,2020,1
981,103606,487,4,2020,1
982,103707,362,4,2020,1
983,103467,59,3,2020,1
984,103991,115,5,2020,1
985,103960,434,5,2020,1
986,103596,186,4,2020,1
987,103758,213,3,2020,1
988,103907,407,5,2020,2
989,103455,378,5,2020,2
990,103523,390,5,2020,2
991,103707,536,4,2020,2
992,103369,126,5,2020,2
993,103867,207,4,2020,2
994,103416,181,2,2020,2
995,103862,114,2,2020,2
996,13879,317,5,2020,2
997,103523,364,5,2020,2
